상권_코드_명,코로나_전_유동인구_증감률,코로나_후_유동인구_증감률,코로나_유동인구_증감률_변화량,코로나_전_20대_유동인구비율_평균,코로나_후_20대_유동인구비율_평균,20대_유동인구비율_변화량,코로나_전_30대_유동인구비율_평균,코로나_후_30대_유동인구비율_평균,30대_유동인구비율_변화량,코로나_전_40대_유동인구비율_평균,코로나_후_40대_유동인구비율_평균,40대_유동인구비율_변화량,코로나_전_50대_유동인구비율_평균,코로나_후_50대_유동인구비율_평균,50대_유동인구비율_변화량,코로나_전_60대이상_유동인구비율_평균,코로나_후_60대이상_유동인구비율_평균,60대이상_유동인구비율_변화량,코로나_전_상주인구_증감률,코로나_후_상주인구_증감률,코로나_상주인구_증감률_변화량,코로나_전_20대_상주인구비율_평균,코로나_후_20대_상주인구비율_평균,20대_상주인구비율_변화량,코로나_전_30대_상주인구비율_평균,코로나_후_30대_상주인구비율_평균,30대_상주인구비율_변화량,코로나_전_40대_상주인구비율_평균,코로나_후_40대_상주인구비율_평균,40대_상주인구비율_변화량,코로나_전_50대_상주인구비율_평균,코로나_후_50대_상주인구비율_평균,50대_상주인구비율_변화량,코로나_전_60대이상_상주인구비율_평균,코로나_후_60대이상_상주인구비율_평균,60대이상_상주인구비율_변화량,500m_내_지하철역_수,700m_내_지하철역_수,1000m_내_지하철역_수,1500m_내_지하철역_수,2000m_내_지하철역_수,2500m_내_지하철역_수,3000m_내_지하철역_수,가장_가까운_역까지의거리(m),인근_정류장_수,상권을_지나는노선_수,인근_정류장_평균_노선_수,디저트류_매출비율,마켓류_매출비율,미용뷰티류_매출비율,오락류_매출비율,음식점류_매출비율,주점류_매출비율,골목상권,관광특구,발달상권,전통시장
가재울로6길,1.3314329727984888,-0.0890384595499552,-1.420471432348444,0.18137233159208913,0.1547150552281577,-0.02665727636393142,0.17679280730455338,0.15561734749576983,-0.021175459808783548,0.2043911206382662,0.1589297037576807,-0.0454614168805855,0.1918039230226718,0.14230173490989081,-0.04950218811278098,0.1706914265254035,0.26310933689230714,0.09241791036690364,-0.003478529213388386,-0.017138193688792165,-0.013659664475403779,0.1336178073254225,0.13511507052709726,0.001497263201674759,0.1411160897898131,0.129547141796585,-0.011568947993228107,0.1681750190793043,0.1718634001484781,0.003688381069173796,0.14783413071569454,0.1451373422420193,-0.0026967884736752434,0.2702431581194376,0.28693392724573125,0.016690769126293636,0,0,1,2,5,13,19,879.0781394544498,61,23,3.180327868852459,0.17249757368602828,0.3276273973142654,0.029081444385280177,0.022396999349442545,0.39617693656478664,0.052219648700197026,1,0,0,0
가좌로7길,1.6104283848079473,-0.196722361587152,-1.8071507463950993,0.16134438126795328,0.14548685240654088,-0.015857528861412395,0.17214990454629156,0.13834004960695395,-0.03380985493933761,0.18968823529764228,0.14045599476129728,-0.04923224053634501,0.1898604723501221,0.14673499895754846,-0.04312547339257364,0.1640066635593587,0.2599525258034793,0.09594586224412058,0.01950807402591123,-0.0392263688368292,-0.05873444286274043,0.13585270839808317,0.1394078758263869,0.003555167428303724,0.1264737381048648,0.1195745903995401,-0.00689914770532471,0.15410547398962224,0.14170738718022421,-0.012398086809398023,0.18040186343865883,0.19028456453003736,0.009882701091378537,0.26044598596559043,0.2796780684104628,0.019232082444872345,0,2,2,3,7,10,15,640.0001908917458,101,27,3.3366336633663365,0.006315443286581784,0.7305263492744021,0.02651516961569739,0.0,0.23664303782331889,0.0,1,0,0,0
갈현로1길,1.6159571165702267,0.11813494795455091,-1.4978221686156759,0.13857176287659334,0.11510580584243528,-0.02346595703415806,0.198991256002229,0.146908742985893,-0.05208251301633601,0.19624405128049724,0.15355445265874146,-0.04268959862175578,0.18861493505113364,0.15016519218538277,-0.03844974286575087,0.1791267720764986,0.2363204790582152,0.05719370698171661,0.10363419765673006,0.011599297012302286,-0.09203490064442776,0.13477650933178473,0.12841813776393216,-0.006358371567852572,0.1669404659874681,0.1758393907926618,0.00889892480519372,0.1707122178388682,0.16441675320179994,-0.00629546463706826,0.16074799832043551,0.15472481827622014,-0.0060231800442153705,0.19400648063536133,0.19972308757355486,0.005716606938193536,1,1,2,4,5,10,11,481.12616604279975,66,14,1.9545454545454544,0.03304231497618335,0.5754850471294063,0.10546853180886441,0.023320412611448963,0.22878865465152975,0.03389503882256743,1,0,0,0
갈현로7길,1.666288978876656,-0.0460100117644069,-1.7122989906410628,0.1397484456770206,0.11572777640666253,-0.024020669270358078,0.18159370846995276,0.1412894133712655,-0.04030429509868727,0.1926751360333276,0.15320583636052504,-0.03946929967280255,0.20352359803179254,0.15593973830674696,-0.047583859725045585,0.18623213107901163,0.25652993052984424,0.07029779945083262,-0.04148814524752295,-0.11078510724403076,-0.06929696199650781,0.13140366433616357,0.12725546058879392,-0.004148203747369655,0.1487281167000945,0.14767331433998102,-0.0010548023601134882,0.1721248936429694,0.17426400759734093,0.0021391139543715243,0.16610297366000654,0.1590693257359924,-0.007033647924014147,0.22057146418898227,0.2426400759734093,0.02206861178442704,0,1,2,4,7,8,11,551.1953995486955,72,15,1.9444444444444444,0.0998127218941601,0.6792799458707434,0.028743009948808736,0.01281323407187915,0.14773535970540266,0.03161572850900581,1,0,0,0
강남시장_동작,1.0246400142308894,-0.18642675976025058,-1.2110667739911398,0.2715020985091478,0.24200446431616485,-0.029497634192982958,0.16436573927540277,0.12054089728652903,-0.043824841988873736,0.15575379876294865,0.12037502760805288,-0.035378771154895766,0.15158393582001847,0.13140351479286635,-0.020180421027152118,0.16396505917451534,0.22597457781249497,0.06200951863797963,-0.08449349688332398,-0.07500000000000001,0.009493496883323974,0.1929127254968369,0.2037037037037037,0.01079097820686678,0.19047296111574932,0.18518518518518517,-0.005287775930564148,0.12769642556407484,0.10185185185185185,-0.025844573712223,0.11245869318940568,0.12037037037037036,0.00791167718096468,0.2994892630255069,0.35185185185185186,0.05236258882634498,1,1,2,3,8,13,17,25.220820495600535,39,18,3.2051282051282053,0.1556241868749766,0.0,0.25332046709132494,0.0,0.5910553460336986,0.0,0,0,0,1
강동대로53길,1.285480686497011,0.10117612997179648,-1.1843045565252144,0.1549176597016016,0.11577005361007962,-0.03914760609152197,0.17200967629830316,0.12541562156961752,-0.046594054728685635,0.2051031518251858,0.18284013041367594,-0.022263021411509848,0.18971477238902773,0.1474838204606533,-0.04223095192837442,0.15081620718625596,0.21067605230620615,0.059859845119950184,0.07662162130821971,-0.037366548042704624,-0.11398816935092435,0.13869457947428057,0.13957553058676656,0.0008809511124859837,0.1488211722334126,0.13258426966292136,-0.016236902570491235,0.17123319239752277,0.16704119850187266,-0.004191993895650115,0.17019048947772444,0.17328339575530588,0.0030929062775814364,0.18511054377842165,0.20848938826466917,0.023378844486247524,1,2,3,9,11,15,20,284.21205251771335,38,12,2.236842105263158,0.06635471555385525,0.14323693032621942,0.03303726506381779,0.03337953381636674,0.6044147396336863,0.11957681560605503,1,0,0,0
강서구청,0.1795889633417591,-0.0362813077947273,-0.2158702711364864,0.226392290783617,0.19106477729512464,-0.03532751348849236,0.21878959567861442,0.1957156496423686,-0.023073946036245824,0.18123085424864877,0.15564329533201948,-0.025587558916629283,0.17171228655967286,0.14709418962076673,-0.024618096938906125,0.14178071147988638,0.21710913832582618,0.0753284268459398,0.027020917488498105,0.060934326337169935,0.03391340884867183,0.1989497870031267,0.23450219160926739,0.035552404606140675,0.2309556758734372,0.23575453976205385,0.004798863888616639,0.15514848777855705,0.15059486537257358,-0.004553622405983476,0.14282199489919814,0.12993112085159675,-0.012890874047601392,0.15932040320618376,0.15810895428929242,-0.0012114489168913445,0,2,3,6,7,11,14,652.4512548216683,81,30,3.061728395061728,0.045336342991487595,0.18523354469619113,0.049483020537452974,0.05217941630483505,0.44786263343305177,0.2199050420369818,0,0,1,0
개봉동 현대아파트 인근,0.4175569827745246,0.15240314585057763,-0.26515383692394695,0.13482040202562612,0.1133013276919137,-0.021519074333712418,0.1776038100389341,0.14801072111931235,-0.029593088919621757,0.18019844452103367,0.14556839291777268,-0.03463005160326099,0.2030982274539288,0.1483671668788487,-0.05473106057508009,0.20430318929930433,0.2724442401571326,0.06814105085782826,-0.0157825652740251,-0.008757062146892656,0.007025503127132444,0.12890760687040842,0.12309451219512195,-0.00581309467528647,0.14143042646372417,0.13605182926829268,-0.005378597195431489,0.14698296470380975,0.13757621951219512,-0.009406745191614635,0.18730892320042228,0.18978658536585366,0.0024776621654313824,0.2725341004138149,0.3010670731707317,0.028532972756916852,1,1,3,5,6,8,11,383.58262030498764,82,28,2.0121951219512195,0.08886258285614519,0.2037661964469861,0.09798605329519276,0.030239872101617615,0.5087504645741942,0.07039483072586393,0,0,1,0
개봉로17길,1.7089192409552119,0.2325421645222818,-1.47637707643293,0.15520460614244447,0.12062296824014271,-0.03458163790230176,0.20518517005762532,0.1460949082497616,-0.059090261807863725,0.17654699265185353,0.14274336298492032,-0.033803629666933205,0.1926183147254255,0.14330954967741358,-0.04930876504801193,0.1935225338913388,0.2621715550109492,0.06864902111961038,-0.011592691495120707,-0.021658742736397254,-0.010066051241276547,0.14278889424654378,0.1417951042611061,-0.0009937899854376986,0.1602407869615463,0.14904805077062558,-0.011192736190920732,0.15862539075715856,0.1584768812330009,-0.00014850952415765284,0.17034576835446566,0.17733454215775157,0.006988773803285914,0.21144430223746719,0.2342701722574796,0.022825870020012407,1,2,2,5,6,8,12,345.6889917526844,75,31,2.24,0.0,0.23656427760490387,0.15106906044514412,0.0,0.5949569761635534,0.017409685786398506,1,0,0,0
개봉로17다길,0.9058240665149925,-0.06708967444189487,-0.9729137409568873,0.15605493193681533,0.12514776118261373,-0.0309071707542016,0.2030557190568084,0.17019235912330663,-0.03286335993350176,0.17540986712932155,0.14767777560186118,-0.027732091527460367,0.1836081849747602,0.14158329731359737,-0.04202488766116283,0.20338798372036945,0.2811603015673721,0.07777231784700264,-0.02207966777264926,-0.011641791044776119,0.010437876727873142,0.13735663384718005,0.13856882959369315,0.0012121957465131006,0.1663605624393612,0.13887204366282596,-0.027488518776535242,0.151562058608891,0.15312310491206793,0.0015610463031769384,0.16437654096096355,0.17465130382049726,0.010274762859533715,0.23751614291149348,0.2668283808368708,0.02931223792537735,2,2,2,5,5,8,12,226.15207921256746,95,32,2.526315789473684,0.060859974437884906,0.4671515794044099,0.10229018842375487,0.0,0.34229942215666526,0.02739883557728502,1,0,0,0
개봉로20길,1.1329151727005267,-0.11464900512841569,-1.2475641778289424,0.14450035087508992,0.10798012901055093,-0.03652022186453899,0.19269840024967816,0.1353092945830511,-0.057389105666627055,0.1885874712129903,0.15632840726987454,-0.03225906394311576,0.17533340048499285,0.12930705340440196,-0.04602634708059089,0.20166647357097922,0.2687538955515587,0.06708742198057949,0.013912057477517274,-0.002437043054427295,-0.01634910053194457,0.12427806004146108,0.1154577560445531,-0.008820303996907974,0.1712825180667992,0.14642760119532736,-0.024854916871471844,0.14284880775708858,0.15946753599565336,0.01661872823856478,0.1545735786261715,0.1447976093452866,-0.009775969280884894,0.23770565755454923,0.262972018473241,0.02526636091869175,1,1,2,4,6,10,14,120.77355236104795,91,29,2.1868131868131866,0.0,0.07324866221546024,0.032047969865147914,0.028930182016435116,0.7503022879200751,0.11547089798288165,1,0,0,0
